96,1
52,1
34,1
4,1
16,12
82,1
66,1
54,1
80,14
98,1
28,1
30,1
14,1
50,1
92,5
24,1
64,1
36,1
74,1
90,4
72,7
70,3
18,1
12,1
38,1
20,1
78,1
94,1
10,1
84,1
56,1
76,15
22,13
48,1
46,1
32,1
0,1
62,1
42,1
40,1
6,1
8,1
86,9
58,1
60,1
88,1
44,12
26,3
68,1
2,1
13,1
19,1
39,7
81,1
71,1
55,1
29,9
79,1
65,1
11,1
35,1
75,1
51,3
37,1
57,1
45,3
1,1
89,14
83,1
63,13
17,1
9,1
49,1
43,4
99,1
41,1
61,13
21,1
47,1
15,1
77,1
53,15
97,14
25,9
95,5
59,10
73,1
27,1
93,1
33,10
23,1
69,1
67,1
3,1
7,10
85,9
91,1
31,1
87,12
5,1
